2025-10-03 19:33:51 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206032_SFD_NT.xlsx
2025-10-03 19:33:52 | INFO     | src.data.processors.tabular_processor:process_file | Created 43 chunks from 5206032_SFD_NT.xlsx
2025-10-03 19:33:52 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206033_SFD_ACT.xlsx
2025-10-03 19:33:52 | INFO     | src.data.processors.tabular_processor:process_file | Created 43 chunks from 5206033_SFD_ACT.xlsx
2025-10-03 19:33:52 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206034_Key_Aggregates_and_Analytical_Series_Annual_data.xlsx
2025-10-03 19:33:52 | INFO     | src.data.processors.tabular_processor:process_file | Created 15 chunks from 5206034_Key_Aggregates_and_Analytical_Series_Annual_data.xlsx
2025-10-03 19:33:52 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206035_Income_from_GDP_Inventories_Annual.xlsx
2025-10-03 19:33:52 | INFO     | src.data.processors.tabular_processor:process_file | Created 5 chunks from 5206035_Income_from_GDP_Inventories_Annual.xlsx
2025-10-03 19:33:52 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206036_Expenditure_on_GDP_Annual.xlsx
2025-10-03 19:33:52 | INFO     | src.data.processors.tabular_processor:process_file | Created 19 chunks from 5206036_Expenditure_on_GDP_Annual.xlsx
2025-10-03 19:33:52 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206037_Industry_Gross_Value_Added_Annual.xlsx
2025-10-03 19:33:52 | INFO     | src.data.processors.tabular_processor:process_file | Created 8 chunks from 5206037_Industry_Gross_Value_Added_Annual.xlsx
2025-10-03 19:33:52 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206038_National_Income_Account_Annual.xlsx
2025-10-03 19:33:53 | INFO     | src.data.processors.tabular_processor:process_file | Created 4 chunks from 5206038_National_Income_Account_Annual.xlsx
2025-10-03 19:33:53 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206039_National_Capital_Account_Annual.xlsx
2025-10-03 19:33:53 | INFO     | src.data.processors.tabular_processor:process_file | Created 4 chunks from 5206039_National_Capital_Account_Annual.xlsx
2025-10-03 19:33:53 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206040_External_Account_Annual.xlsx
2025-10-03 19:33:53 | INFO     | src.data.processors.tabular_processor:process_file | Created 4 chunks from 5206040_External_Account_Annual.xlsx
2025-10-03 19:33:53 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206041_Industry_Indexes.xlsx
2025-10-03 19:33:53 | INFO     | src.data.processors.tabular_processor:process_file | Created 8 chunks from 5206041_Industry_Indexes.xlsx
2025-10-03 19:33:53 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206042_Unit_Labour_Costs.xlsx
2025-10-03 19:33:53 | INFO     | src.data.processors.tabular_processor:process_file | Created 5 chunks from 5206042_Unit_Labour_Costs.xlsx
2025-10-03 19:33:53 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206043_Industry_Indexes_Annual.xlsx
2025-10-03 19:33:53 | INFO     | src.data.processors.tabular_processor:process_file | Created 4 chunks from 5206043_Industry_Indexes_Annual.xlsx
2025-10-03 19:33:53 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206044_State_COE_Summary.xlsx
2025-10-03 19:33:53 | INFO     | src.data.processors.tabular_processor:process_file | Created 8 chunks from 5206044_State_COE_Summary.xlsx
2025-10-03 19:33:53 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206045_Industry_GVA_Current_Price.xlsx
2025-10-03 19:33:53 | INFO     | src.data.processors.tabular_processor:process_file | Created 28 chunks from 5206045_Industry_GVA_Current_Price.xlsx
2025-10-03 19:33:53 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232001.xlsx
2025-10-03 19:33:53 | INFO     | src.data.processors.tabular_processor:process_file | Created 26 chunks from 5232001.xlsx
2025-10-03 19:33:53 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232002.xlsx
2025-10-03 19:33:54 | INFO     | src.data.processors.tabular_processor:process_file | Created 26 chunks from 5232002.xlsx
2025-10-03 19:33:54 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232003.xlsx
2025-10-03 19:33:54 | INFO     | src.data.processors.tabular_processor:process_file | Created 6 chunks from 5232003.xlsx
2025-10-03 19:33:54 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232004.xlsx
2025-10-03 19:33:54 | INFO     | src.data.processors.tabular_processor:process_file | Created 8 chunks from 5232004.xlsx
2025-10-03 19:33:54 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232005.xlsx
2025-10-03 19:33:54 | INFO     | src.data.processors.tabular_processor:process_file | Created 6 chunks from 5232005.xlsx
2025-10-03 19:33:54 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232006.xlsx
2025-10-03 19:33:54 | INFO     | src.data.processors.tabular_processor:process_file | Created 37 chunks from 5232006.xlsx
2025-10-03 19:33:54 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232007.xlsx
2025-10-03 19:33:54 | INFO     | src.data.processors.tabular_processor:process_file | Created 6 chunks from 5232007.xlsx
2025-10-03 19:33:54 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232008.xlsx
2025-10-03 19:33:54 | INFO     | src.data.processors.tabular_processor:process_file | Created 37 chunks from 5232008.xlsx
2025-10-03 19:33:54 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232009.xlsx
2025-10-03 19:33:54 | INFO     | src.data.processors.tabular_processor:process_file | Created 24 chunks from 5232009.xlsx
2025-10-03 19:33:54 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232010.xlsx
2025-10-03 19:33:55 | INFO     | src.data.processors.tabular_processor:process_file | Created 37 chunks from 5232010.xlsx
2025-10-03 19:33:55 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232011.xlsx
2025-10-03 19:33:55 | INFO     | src.data.processors.tabular_processor:process_file | Created 6 chunks from 5232011.xlsx
2025-10-03 19:33:55 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232012.xlsx
2025-10-03 19:33:55 | INFO     | src.data.processors.tabular_processor:process_file | Created 29 chunks from 5232012.xlsx
2025-10-03 19:33:55 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232013.xlsx
2025-10-03 19:33:55 | INFO     | src.data.processors.tabular_processor:process_file | Created 6 chunks from 5232013.xlsx
2025-10-03 19:33:55 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232014.xlsx
2025-10-03 19:33:55 | INFO     | src.data.processors.tabular_processor:process_file | Created 33 chunks from 5232014.xlsx
2025-10-03 19:33:55 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232015.xlsx
2025-10-03 19:33:55 | INFO     | src.data.processors.tabular_processor:process_file | Created 16 chunks from 5232015.xlsx
2025-10-03 19:33:55 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232016.xlsx
2025-10-03 19:33:56 | INFO     | src.data.processors.tabular_processor:process_file | Created 50 chunks from 5232016.xlsx
2025-10-03 19:33:56 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232017.xlsx
2025-10-03 19:33:56 | INFO     | src.data.processors.tabular_processor:process_file | Created 32 chunks from 5232017.xlsx
2025-10-03 19:33:56 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232018.xlsx
2025-10-03 19:33:56 | INFO     | src.data.processors.tabular_processor:process_file | Created 22 chunks from 5232018.xlsx
2025-10-03 19:33:56 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232019.xlsx
2025-10-03 19:33:56 | INFO     | src.data.processors.tabular_processor:process_file | Created 6 chunks from 5232019.xlsx
2025-10-03 19:33:56 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232020.xlsx
2025-10-03 19:33:56 | INFO     | src.data.processors.tabular_processor:process_file | Created 31 chunks from 5232020.xlsx
2025-10-03 19:33:56 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232021.xlsx
2025-10-03 19:33:56 | INFO     | src.data.processors.tabular_processor:process_file | Created 30 chunks from 5232021.xlsx
2025-10-03 19:33:56 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232022.xlsx
2025-10-03 19:33:57 | INFO     | src.data.processors.tabular_processor:process_file | Created 14 chunks from 5232022.xlsx
2025-10-03 19:33:57 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232023.xlsx
2025-10-03 19:33:57 | INFO     | src.data.processors.tabular_processor:process_file | Created 25 chunks from 5232023.xlsx
2025-10-03 19:33:57 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232024.xlsx
